                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20220503"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79 
                                 lg_Lnuc                                   H_rich                                   N_cntr                                  lg_Lneu                                  He_core                                   O_cntr                                lg_Lphoto                                   C_core                                   O_core                                  Si_core                                  Fe_core                                  Ne_cntr                                     Mass                                   H_cntr                                  Si_cntr                                  lg_Mdot                                  He_cntr                                    zones                                 lg_Dsurf                                   C_cntr                             model_number                                 star_age                                star_mass                             log_abs_mdot                log_rotational_mdot_boost                                   log_dt               log_total_angular_momentum                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                             kh_timescale                                   log_LH                                  log_LHe                                    log_L                               luminosity                                 log_Teff                              effective_T                                    log_R                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                             lum_div_Ledd                           log_L_div_Ledd                                 v_div_cs                              v_surf_km_s                               log_cntr_T                             log_cntr_Rho                               log_cntr_P                             center_omega              center_omega_div_omega_crit                                center_ye                           center_entropy                               surface_h1                              surface_he4                              surface_c12                              surface_n14                              surface_o16                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_fe54                              center_fe56                              center_ni56                              center_cr56 
                 5.5356797426629498E+000                  0.0000000000000000E+000                  6.7609156897016826E-004                  4.3782142008073883E+000                  4.9999951853524131E+001                  7.2503469325859869E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750348E-004                  4.9999951853524131E+001                  7.5279081703607964E-001                  0.0000000000000000E+000                 -6.8037928358107811E+000                  2.4518028643960912E-001                                      852                 -6.6652344477799845E+000                  1.1545636769329531E-005                                        1                  3.0644838703144626E+002                  4.9999951853524131E+001                 -6.8037928358107811E+000                  1.4134708164013374E-001                  2.4863573398170700E+000                  5.3313307465922762E+001                  4.9999951853524131E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1861276386807920E+004                  5.5356797426629498E+000                 -2.2933917474771192E+001                  5.5290396838177296E+000                  3.3809572841587866E+005                  4.6929840605225541E+000                  4.9315570382058431E+004                  9.0120488172825319E-001                  4.3346274499874680E+000                  1.5503627020502962E+019                  7.0503699663649350E-005                  1.3297739900447906E-004                  5.3019310192158731E-001                  3.9938721673149826E+002                  7.5328633149694474E+002                  5.3019310192158731E-001                  5.1558095708430107E-001                  5.1437763755340460E-001                 -2.8871792052369860E-001                  0.0000000000000000E+000                  1.6836635154247339E-005                  7.6549550447462229E+000                  5.5865382996689517E-001                  1.6524118457987775E+001                  7.0505427101705961E-005                  5.6530204868563777E-002                  8.7639541320239456E-001                  2.7467668420409250E+001                  7.5399999999926526E-001                  2.4397403348928101E-001                  3.4468833607860787E-004                  1.0103427409336956E-004                  9.3805276451495371E-004                  7.5279081703607964E-001                  2.4518025833348078E-001                  1.1545636769329531E-005                  6.7609156897016826E-004                  7.2503469325859869E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.5355527647033496E+000                  0.0000000000000000E+000                  6.8028002900457978E-004                  4.3778590462306042E+000                  4.9999894182850447E+001                  7.2016438382513988E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750348E-004                  4.9999894182850447E+001                  7.5275586544019757E-001                  0.0000000000000000E+000                 -6.8045835611412171E+000                  2.4521585726141612E-001                                      841                 -6.6655790507860626E+000                  1.1608260243499703E-005                                        2                  6.7418645146918175E+002                  4.9999894182850447E+001                 -6.8045835611412171E+000                  1.4052673466322141E-001                  2.5655385858646951E+000                  5.3313303712970750E+001                  4.9999894182850447E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1852524362437864E+004                  5.5355527647033496E+000                 -2.2941732643854575E+001                  5.5290517698531509E+000                  3.3810513745508698E+005                  4.6929066750338793E+000                  4.9306783787513159E+004                  9.0136569572331349E-001                  4.3343053210754690E+000                  1.5497401945209799E+019                  7.0445434662675394E-005                  1.3313722058848476E-004                  5.2911901233401837E-001                  3.9916640128166671E+002                  7.5439814479711777E+002                  5.2911901233401837E-001                  5.1401638224796264E-001                  5.1444230931476553E-001                 -2.8866332090358721E-001                  0.0000000000000000E+000                  1.4936076181372080E-005                  7.6547980388319470E+000                  5.5818007516869195E-001                  1.6523474677805005E+001                  7.0452434036439774E-005                  5.6518782072498060E-002                  8.7637793719780133E-001                  2.7467844785778269E+001                  7.5399999999918965E-001                  2.4397403348928101E-001                  3.4468833607860570E-004                  1.0103427409337200E-004                  9.3805276451495371E-004                  7.5275586544019757E-001                  2.4521583039519995E-001                  1.1608260243499703E-005                  6.8028002900457978E-004                  7.2016438382513988E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.5354497831676905E+000                  0.0000000000000000E+000                  6.8522109384844634E-004                  4.3775546352288908E+000                  4.9999825004316754E+001                  7.1441528128984399E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750353E-004                  4.9999825004316754E+001                  7.5271393624768823E-001                  0.0000000000000000E+000                 -6.8047484794579649E+000                  2.4525851786315306E-001                                      850                 -6.6659955046719555E+000                  1.1684888707371745E-005                                        3                  1.1154721287944644E+003                  4.9999825004316754E+001                 -6.8047484794579649E+000                  1.4025323723359995E-001                  2.6447198319123197E+000                  5.3313299212903011E+001                  4.9999825004316754E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1841601418856637E+004                  5.5354497831676905E+000                 -2.2950918326285105E+001                  5.5290737871640889E+000                  3.3812227871511166E+005                  4.6928152211161729E+000                  4.9296401837055389E+004                  9.0155961221419589E-001                  4.3339168872149081E+000                  1.5492271477030494E+019                  7.0383855175301443E-005                  1.3316978657216562E-004                  5.2852720565982092E-001                  3.9895288468033561E+002                  7.5483888134438996E+002                  5.2852720565982103E-001                  5.1328249628616196E-001                  5.1452403015905368E-001                 -2.8859433728294986E-001                  0.0000000000000000E+000                  1.3211119317252880E-005                  7.6546134598480773E+000                  5.5762315036615073E-001                  1.6522717665202300E+001                  7.0389371467833740E-005                  5.6504702778172627E-002                  8.7635697247151756E-001                  2.7468037177644597E+001                  7.5399999999909262E-001                  2.4397403348928112E-001                  3.4468833607860267E-004                  1.0103427409337579E-004                  9.3805276451495393E-004                  7.5271393624768823E-001                  2.4525849177711123E-001                  1.1684888707371747E-005                  6.8522109384844634E-004                  7.1441528128984399E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.5353161405762785E+000                  0.0000000000000000E+000                  6.9105647642186377E-004                  4.3771623777847628E+000                  4.9999741995860013E+001                  7.0762767537004977E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750348E-004                  4.9999741995860013E+001                  7.5266351658895547E-001                  0.0000000000000000E+000                 -6.8047787382462177E+000                  2.4530980079728398E-001                                      848                 -6.6664890553342877E+000                  1.1773836655716854E-005                                        4                  1.6450149415848034E+003                  4.9999741995860013E+001                 -6.8047787382462177E+000                  1.4007784838767037E-001                  2.7239010779599444E+000                  5.3313293814924037E+001                  4.9999741995860013E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1828434252947674E+004                  5.5353161405762785E+000                 -2.2961628424653352E+001                  5.5291046921987110E+000                  3.3814634085032588E+005                  4.6927081746415729E+000                  4.9284252578999767E+004                  9.0178915768070700E-001                  4.3334570752764696E+000                  1.5486741438164623E+019                  7.0311919032395119E-005                  1.3313030884900276E-004                  5.2814358834052844E-001                  3.9870804481950597E+002                  7.5492357309927831E+002                  5.2814358834052832E-001                  5.1297346540800526E-001                  5.1462318699279197E-001                 -2.8851065000254700E-001                  0.0000000000000000E+000                  1.1669950581588099E-005                  7.6543981596192268E+000                  5.5697345333193948E-001                  1.6521834258532319E+001                  7.0315873457796942E-005                  5.6488288085417865E-002                  8.7633176244503241E-001                  2.7468236265576699E+001                  7.5399999999896428E-001                  2.4397403348928109E-001                  3.4468833607859752E-004                  1.0103427409338173E-004                  9.3805276451495361E-004                  7.5266351658895536E-001                  2.4530977589395433E-001                  1.1773836655716852E-005                  6.9105647642186377E-004                  7.0762767537004977E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.5353018306239132E+000                  0.0000000000000000E+000                  6.9768476210829136E-004                  4.3773739814167802E+000                  4.9999642376441066E+001                  6.9989387597945687E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750348E-004                  4.9999642376441066E+001                  7.5260438930301510E-001                  0.0000000000000000E+000                 -6.8047383197250735E+000                  2.4536991463511681E-001                                      851                 -6.6670818366854077E+000                  1.1892798467438114E-005                                        5                  2.2804663169332102E+003                  4.9999642376441066E+001                 -6.8047383197250735E+000                  1.3993733785786366E-001                  2.8030823240075695E+000                  5.3313287338970270E+001                  4.9999642376441066E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1812639434649853E+004                  5.5353018306239132E+000                 -2.2974405733692482E+001                  5.5291415734683858E+000                  3.3817505822175270E+005                  4.6925795186192749E+000                  4.9269654703447035E+004                  9.0206491036013958E-001                  4.3329047046289988E+000                  1.5480890560216758E+019                  7.0225511565182494E-005                  1.3304076136483141E-004                  5.2784959169473167E-001                  3.9841999675865020E+002                  7.5479834223129637E+002                  5.2784959169473178E-001                  5.1288718038354708E-001                  5.1474212731838576E-001                 -2.8841028694077897E-001                  0.0000000000000000E+000                  1.0301282885362420E-005                  7.6541414941345254E+000                  5.5619904011292975E-001                  1.6520781396584230E+001                  7.0225682830127550E-005                  5.6466563637497760E-002                  8.7630219948821675E-001                  2.7468488546603556E+001                  7.5399999999879230E-001                  2.4397403348928107E-001                  3.4468833607858868E-004                  1.0103427409339199E-004                  9.3805276451495371E-004                  7.5260438930301499E-001                  2.4536988561486153E-001                  1.1892798467438115E-005                  6.9768476210829125E-004                  6.9989387597945687E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.5349991730465709E+000                  0.0000000000000000E+000                  7.0555595284297050E-004                  4.3767241584885923E+000                  4.9999522808917376E+001                  6.9074324286099061E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750348E-004                  4.9999522808917376E+001                  7.5253279928662753E-001                  0.0000000000000000E+000                 -6.8046503351800132E+000                  2.4544266785396465E-001                                      854                 -6.6677576036261428E+000                  1.2009038390848455E-005                                        6                  3.0430079673512982E+003                  4.9999522808917376E+001                 -6.8046503351800132E+000                  1.3980877799484187E-001                  2.8822635700551942E+000                  5.3313279569060306E+001                  4.9999522808917376E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1794009082973742E+004                  5.5349991730465717E+000                 -2.2988748856687142E+001                  5.5291970374011647E+000                  3.3821824946002738E+005                  4.6924366086642619E+000                  4.9253444583187040E+004                  9.0237846223655582E-001                  4.3322765623171815E+000                  1.5473566606258661E+019                  7.0126260930227104E-005                  1.3292205176526739E-004                  5.2757431892539541E-001                  3.9808297219392017E+002                  7.5455335469089289E+002                  5.2757431892539552E-001                  5.1292556772184283E-001                  5.1488419825368570E-001                 -2.8829043642394825E-001                  0.0000000000000000E+000                  9.0770477761890224E-006                  7.6538529743793715E+000                  5.5532802804330206E-001                  1.6519596388114650E+001                  7.0126302022870823E-005                  5.6443713394106178E-002                  8.7626640419619206E-001                  2.7468689430305080E+001                  7.5399999999855671E-001                  2.4397403348928109E-001                  3.4468833607857285E-004                  1.0103427409341053E-004                  9.3805276451495350E-004                  7.5253279928662753E-001                  2.4544264053669468E-001                  1.2009038390848455E-005                  7.0555595284297061E-004                  6.9074324286099061E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.5347752818433404E+000                  0.0000000000000000E+000                  7.1482829454536817E-004                  4.3759989720912138E+000                  4.9999379283924512E+001                  6.7996290999190225E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750345E-004                  4.9999379283924512E+001                  7.5244612332430305E-001                  0.0000000000000000E+000                 -6.8045172821603330E+000                  2.4553071427926315E-001                                      840                 -6.6685361900868001E+000                  1.2146566583466933E-005                                        7                  3.9580579478530044E+003                  4.9999379283924512E+001                 -6.8045172821603330E+000                  1.3966981216119834E-001                  2.9614448161028188E+000                  5.3313270246540377E+001                  4.9999379283924512E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1772320503584499E+004                  5.5347752818433404E+000                 -2.3005017047538423E+001                  5.5292659697304973E+000                  3.3827193658493942E+005                  4.6922733501906384E+000                  4.9234932878969332E+004                  9.0273944534846884E-001                  4.3315533494374199E+000                  1.5465480954246089E+019                  7.0012611367224945E-005                  1.3277504384575376E-004                  5.2730249103558480E-001                  3.9769975300457401E+002                  7.5421557790011536E+002                  5.2730249103558480E-001                  5.1303943296021892E-001                  5.1505029010201797E-001                 -2.8815036387630438E-001                  0.0000000000000000E+000                  7.9938538424123364E-006                  7.6535253444221656E+000                  5.5433809883591312E-001                  1.6518248961761593E+001                  7.0014075761155458E-005                  5.6418227819287257E-002                  8.7622306570775632E-001                  2.7468834282354226E+001                  7.5399999999822875E-001                  2.4397403348928121E-001                  3.4468833607854222E-004                  1.0103427409344629E-004                  9.3805276451495382E-004                  7.5244612332430305E-001                  2.4553069000563391E-001                  1.2146566583466933E-005                  7.1482829454536817E-004                  6.7996290999190225E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.5346210402934197E+000                  0.0000000000000000E+000                  7.2572428500715489E-004                  4.3753080756869460E+000                  4.9999206984685543E+001                  6.6729214628014923E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750348E-004                  4.9999206984685543E+001                  7.5234089282198491E-001                  0.0000000000000000E+000                 -6.8043427029720105E+000                  2.4563755590244338E-001                                      837                 -6.6694273721918300E+000                  1.2310218971464722E-005                                        8                  5.0561179244550513E+003                  4.9999206984685543E+001                 -6.8043427029720105E+000                  1.3952188441205765E-001                  3.0406260621504435E+000                  5.3313259060602526E+001                  4.9999206984685543E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1747546032264661E+004                  5.5346210402934197E+000                 -2.3023647826377214E+001                  5.5293441638300482E+000                  3.3833284744600346E+005                  4.6920862623415180E+000                  4.9213727742078299E+004                  9.0315271809648501E-001                  4.3307253073480547E+000                  1.5455424245861784E+019                  6.9883047323959674E-005                  1.3260551190826406E-004                  5.2699956674730442E-001                  3.9725641869129925E+002                  7.5380786580756944E+002                  5.2699956674730442E-001                  5.1320549409659155E-001                  5.1524001855194834E-001                 -2.8799041280405974E-001                  0.0000000000000000E+000                  7.0347647000663390E-006                  7.6531497498093133E+000                  5.5320211069131697E-001                  1.6516702181549952E+001                  6.9884460557692566E-005                  5.6388181938268105E-002                  8.7617044993216087E-001                  2.7468911799894421E+001                  7.5399999999776390E-001                  2.4397403348928123E-001                  3.4468833607847885E-004                  1.0103427409352028E-004                  9.3805276451495371E-004                  7.5234089282198480E-001                  2.4563753477543124E-001                  1.2310218971464724E-005                  7.2572428500715489E-004                  6.6729214628014923E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.5344926723895966E+000                  0.0000000000000000E+000                  7.3812472475040492E-004                  4.3749412275557118E+000                  4.9999000134128885E+001                  6.5285699101239188E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0850244238750348E-004                  4.9999000134128885E+001                  7.5221567052109695E-001                  0.0000000000000000E+000                 -6.8041506142151933E+000                  2.4576461550075632E-001                                      837                 -6.6704483528794984E+000                  1.2507637070925640E-005                                        9                  6.3737898963775069E+003                  4.9999000134128885E+001                 -6.8041506142151933E+000                  1.3934677374195753E-001                  3.1198073081980686E+000                  5.3313245639891029E+001                  4.9999000134128885E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1719282896791221E+004                  5.5344926723895966E+000                 -2.3045056789960373E+001                  5.5294316925465568E+000                  3.3840104270416405E+005                  4.6918713172558792E+000                  4.9189376450377255E+004                  9.0362637262601686E-001                  4.3297762015756716E+000                  1.5443666593090986E+019                  6.9734716578219227E-005                  1.3240991997641428E-004                  5.2665779565942517E-001                  3.9674652290867101E+002                  7.5332887157192272E+002                  5.2665779565942517E-001                  5.1341315885739469E-001                  5.1545632573877720E-001                 -2.8780812629545749E-001                  0.0000000000000000E+000                  6.1872752223324208E-006                  7.6527179963884260E+000                  5.5189503635513704E-001                  1.6514922313479758E+001                  6.9734744141173723E-005                  5.6352949175697484E-002                  8.7610783883575039E-001                  2.7468940625626363E+001                  7.5399999999709055E-001                  2.4397403348928151E-001                  3.4468833607833801E-004                  1.0103427409368459E-004                  9.3805276451495382E-004                  7.5221567052109695E-001                  2.4576459404954615E-001                  1.2507637070925638E-005                  7.3812472475040492E-004                  6.5285699101239188E-004                  2.0850244238750348E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
