                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20220528"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79 
                                 lg_Lnuc                                   H_rich                                   N_cntr                                  lg_Lneu                                  He_core                                   O_cntr                                lg_Lphoto                                   C_core                                   O_core                                  Si_core                                  Fe_core                                  Ne_cntr                                     Mass                                   H_cntr                                  Si_cntr                                  lg_Mdot                                  He_cntr                                    zones                                 lg_Dsurf                                   C_cntr                             model_number                                 star_age                                star_mass                             log_abs_mdot                log_rotational_mdot_boost                                   log_dt               log_total_angular_momentum                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                             kh_timescale                                   log_LH                                  log_LHe                                    log_L                               luminosity                                 log_Teff                              effective_T                                    log_R                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                             lum_div_Ledd                           log_L_div_Ledd                                 v_div_cs                              v_surf_km_s                               log_cntr_T                             log_cntr_Rho                               log_cntr_P                             center_omega              center_omega_div_omega_crit                                center_ye                           center_entropy                               surface_h1                              surface_he4                              surface_c12                              surface_n14                              surface_o16                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_fe54                              center_fe56                              center_ni56                              center_cr56 
                 5.6943465393830657E+000                  0.0000000000000000E+000                  4.0850433924007398E-004                  4.5340575831901679E+000                  5.9999981040761973E+001                  2.7983846857397040E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119374027E-004                  5.9999981040761973E+001                  7.5573488417009471E-001                  0.0000000000000000E+000                 -7.1827361144899369E+000                  2.4326127177579607E-001                                      845                 -6.5364212844959484E+000                  7.3889336386805469E-006                                        1                  2.8877327200242746E+002                  5.9999981040761973E+001                 -7.1827361144899369E+000                  1.1961654349045062E-001                  2.4605569937485905E+000                  5.3421519439525731E+001                  5.9999981040761973E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0776140809464778E+004                  5.6943465393830657E+000                 -2.1911226733301788E+001                  5.6863953408671337E+000                  4.8573046231927327E+005                  4.7207639588413226E+000                  5.2573145113152779E+004                  9.2432291361541863E-001                  4.3675729132243761E+000                  1.5867784504565875E+019                  6.5575962571131344E-005                  1.3872021190928339E-004                  4.7272103804177429E-001                  3.9049101452905501E+002                  8.2604957914851116E+002                  4.7272103804177429E-001                  4.8971141654309230E-001                  4.8760756575748182E-001                 -3.1192956445391296E-001                  0.0000000000000000E+000                  1.0593530387383745E-005                  7.6768831067097691E+000                  5.4990291547912107E-001                  1.6563433997564989E+001                  6.5577779487637847E-005                  5.3926037860269949E-002                  8.7786744460246424E-001                  2.8282675894738983E+001                  7.5699999999907142E-001                  2.4197424632953299E-001                  1.7234416803927653E-004                  5.0517137046689180E-005                  4.6902638225742476E-004                  7.5573488417009471E-001                  2.4326125667129472E-001                  7.3889336386805477E-006                  4.0850433924007398E-004                  2.7983846857397040E-004                  1.0425122119374026E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6933923465064442E+000                  0.0000000000000000E+000                  4.2397056226190421E-004                  4.5323694194567121E+000                  5.9999858934878738E+001                  2.6181959658556556E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119374027E-004                  5.9999858934878738E+001                  7.5553231046802460E-001                  0.0000000000000000E+000                 -7.1825722202313296E+000                  2.4346614073356249E-001                                      835                 -6.5387611418586493E+000                  7.6463269089353138E-006                                        5                  2.1489351809332638E+003                  5.9999858934878738E+001                 -7.1825722202313296E+000                  1.1880387889968741E-001                  2.7772819779390896E+000                  5.3421513101365207E+001                  5.9999858934878738E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0715138017795674E+004                  5.6933923465064442E+000                 -2.1959549963881969E+001                  5.6865543858665646E+000                  4.8590837650340353E+005                  4.7202456020004577E+000                  5.2510433304071186E+004                  9.2543914979686459E-001                  4.3653395570284514E+000                  1.5862652070286881E+019                  6.5259142699707580E-005                  1.3861962004428673E-004                  4.7077854259633911E-001                  3.8953051192371095E+002                  8.2741772761233756E+002                  4.7077854259633911E-001                  4.8679852360239184E-001                  4.8805901375843913E-001                 -3.1152766201348830E-001                  0.0000000000000000E+000                  6.9882253391162646E-006                  7.6758844077909529E+000                  5.4686666907799164E-001                  1.6559351280145421E+001                  6.5261516571988009E-005                  5.3855419401443984E-002                  8.7776615755173160E-001                  2.8284879219355179E+001                  7.5699999999849843E-001                  2.4197424632953302E-001                  1.7234416803924758E-004                  5.0517137046722980E-005                  4.6902638225742492E-004                  7.5553231046802460E-001                  2.4346612682724666E-001                  7.6463269089353138E-006                  4.2397056226190421E-004                  2.6181959658556556E-004                  1.0425122119374026E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6918012065047439E+000                  0.0000000000000000E+000                  4.5961699993388530E-004                  4.5296744885164015E+000                  5.9999506618064601E+001                  2.2028618725409335E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119374027E-004                  5.9999506618064601E+001                  7.5495570961118796E-001                  0.0000000000000000E+000                 -7.1803579465705480E+000                  2.4404803259429159E-001                                      819                 -6.5439795072213798E+000                  8.2422946758424565E-006                                       10                  7.4961735703531222E+003                  5.9999506618064601E+001                 -7.1803579465705480E+000                  1.1845532698799412E-001                  3.1731882081772138E+000                  5.3421494819500417E+001                  5.9999506618064601E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0574092066314304E+004                  5.6918012065047439E+000                 -2.2062806687944946E+001                  5.6870381783674429E+000                  4.8644996711272834E+005                  4.7191274204012137E+000                  5.2375408156343168E+004                  9.2791740924579091E-001                  4.3603804879629777E+000                  1.5856186401333254E+019                  6.4577388493472284E-005                  1.3741620869261794E-004                  4.6994011192612245E-001                  3.8751067384930718E+002                  8.2459586661167214E+002                  4.6994011192612245E-001                  4.8757986661529162E-001                  4.8913124986054524E-001                 -3.1057458987049869E-001                  0.0000000000000000E+000                  3.9362515164296954E-006                  7.6737407644466300E+000                  5.4032934069920391E-001                  1.6550541605599584E+001                  6.4577568206606619E-005                  5.3697726456111414E-002                  8.7747785716663407E-001                  2.8287283972143442E+001                  7.5699999999547918E-001                  2.4197424632953460E-001                  1.7234416803851838E-004                  5.0517137047573808E-005                  4.6902638225742476E-004                  7.5495570961118807E-001                  2.4404801842805104E-001                  8.2422946758424548E-006                  4.5961699993388530E-004                  2.2028618725409335E-004                  1.0425122119374026E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6905275940998647E+000                  0.0000000000000000E+000                  5.1582053513994609E-004                  4.5268822778600120E+000                  5.9998623249820049E+001                  1.5480870405911349E-004                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119374027E-004                  5.9998623249820049E+001                  7.5355150237583424E-001                  0.0000000000000000E+000                 -7.1765128829937650E+000                  2.4546058012513425E-001                                      818                 -6.5516973131585710E+000                  9.1759471759814539E-006                                       15                  2.0801813799514344E+004                  5.9998623249820049E+001                 -7.1765128829937650E+000                  1.1798401218560056E-001                  3.5690944384153380E+000                  5.3421449005931947E+001                  5.9998623249820049E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0355622493327301E+004                  5.6905275940998647E+000                 -2.2203402076348453E+001                  5.6880210629029957E+000                  4.8755213538266136E+005                  4.7175528324967955E+000                  5.2185858516315784E+004                  9.3155802732240323E-001                  4.3530928576775354E+000                  1.5841511433319737E+019                  6.3614306554720930E-005                  1.3564390115960095E-004                  4.6898021961098896E-001                  3.8463116488891075E+002                  8.2014368368874000E+002                  4.6898021961098896E-001                  4.8924027689796540E-001                  4.9085389483769848E-001                 -3.0904775860683376E-001                  0.0000000000000000E+000                  2.1246901904230421E-006                  7.6707718201113257E+000                  5.3115960012024632E-001                  1.6538131241444564E+001                  6.3614936152144591E-005                  5.3468138593683032E-002                  8.7677575347681480E-001                  2.8281280582447408E+001                  7.5699999997307110E-001                  2.4197424633013934E-001                  1.7234416785827034E-004                  5.0517137322398465E-005                  4.6902638218366996E-004                  7.5355150237583424E-001                  2.4546056639174915E-001                  9.1759471759814539E-006                  5.1582053513994609E-004                  1.5480870405911349E-004                  1.0425122119374026E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6911303622816769E+000                  0.0000000000000000E+000                  5.7668250736705139E-004                  4.5263695676524982E+000                  5.9996397393415933E+001                  8.3904313964534128E-005                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119374017E-004                  5.9996397393415933E+001                  7.5021092575770232E-001                  0.0000000000000000E+000                 -7.1700641104175711E+000                  2.4881018827582077E-001                                      796                 -6.5607100800423295E+000                  1.0186832487932279E-005                                       20                  5.3910504494540772E+004                  5.9996397393415933E+001                 -7.1700641104175711E+000                  1.1785847644961069E-001                  3.9650006686534618E+000                  5.3421333504016339E+001                  5.9996397393415933E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0058303698800584E+004                  5.6911303622816769E+000                 -2.2320135137905133E+001                  5.6902223436042769E+000                  4.9002963321385323E+005                  4.7160248122554753E+000                  5.2002570596484766E+004                  9.3571470815568458E-001                  4.3447633840565141E+000                  1.5883659281618106E+019                  6.2664397639594830E-005                  1.3347915617373441E-004                  4.6946953693677701E-001                  3.8236301501320008E+002                  8.1445756312127344E+002                  4.6946953693677701E-001                  4.9165901970617099E-001                  4.9340235949385602E-001                 -3.0679877800657540E-001                  0.0000000000000000E+000                  1.1166697502859206E-006                  7.6681078370149027E+000                  5.2249193073400113E-001                  1.6526270958893388E+001                  6.2664400149427504E-005                  5.3218964085743725E-002                  8.7510546534455347E-001                  2.8244960564841911E+001                  7.5699997348378090E-001                  2.4197427299578869E-001                  1.7234145461098840E-004                  5.0523108861472988E-005                  4.6902317522559575E-004                  7.5021092575770221E-001                  2.4881017348160270E-001                  1.0186832487932279E-005                  5.7668250736705149E-004                  8.3904313964534128E-005                  1.0425122119374017E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6959570534666994E+000                  0.0000000000000000E+000                  6.1832325667687696E-004                  4.5300587773605816E+000                  5.9990728442080318E+001                  3.5383529911283747E-005                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119372808E-004                  5.9990728442080318E+001                  7.4211155955890429E-001                  0.0000000000000000E+000                 -7.1575567367463995E+000                  2.5691573599313611E-001                                      784                 -6.5710690974493913E+000                  1.0885348598022063E-005                                       25                  1.3629552172478894E+005                  5.9990728442080318E+001                 -7.1575567367463995E+000                  1.1879139161467203E-001                  4.3609068988915860E+000                  5.3421037706620922E+001                  5.9990728442080318E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9605209931848960E+004                  5.6959570534666994E+000                 -2.2336604311643200E+001                  5.6955371756424160E+000                  4.9606338864438346E+005                  4.7150906211635775E+000                  5.1890830456566517E+004                  9.4024050635855083E-001                  4.3356707500099869E+000                  1.6020315308033579E+019                  6.1969056253037346E-005                  1.3095826634597970E-004                  4.7319698085587664E-001                  3.8195067122064904E+002                  8.0717055829437174E+002                  4.7319698085587664E-001                  4.9560909024182309E-001                  4.9775650552640532E-001                 -3.0298305516643603E-001                  0.0000000000000000E+000                  5.9045710237551875E-007                  7.6670193862775262E+000                  5.1747319995651886E-001                  1.6519067761637562E+001                  6.1969242803817161E-005                  5.2984871667317975E-002                  8.7105578153624352E-001                  2.8131240965171344E+001                  7.5697178888408634E-001                  2.4200269347656525E-001                  1.7124889641256756E-004                  5.3516783373935599E-005                  4.6705857666478039E-004                  7.4211155955890429E-001                  2.5691572545203739E-001                  1.0885348598022064E-005                  6.1832325667687696E-004                  3.5383529911283741E-005                  1.0425122119372806E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.7091724660237659E+000                  0.0000000000000000E+000                  6.3131807274898659E-004                  4.5429946955350164E+000                  5.9976251368744208E+001                  2.0177713094995738E-005                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119374027E-004                  5.9976251368744208E+001                  7.2275282968597609E-001                  0.0000000000000000E+000                 -7.1307872463204376E+000                  2.7627641091862809E-001                                      781                 -6.5865443529607495E+000                  1.1151296895399005E-005                                       30                  3.3671584076689207E+005                  5.9976251368744208E+001                 -7.1307872463204376E+000                  1.2181899001909317E-001                  4.7205174444587570E+000                  5.3420270797158899E+001                  5.9976251368744208E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8714660897449961E+004                  5.7091724660237659E+000                 -2.2189721969292641E+001                  5.7089365745327756E+000                  5.1160711368417274E+005                  4.7151502203256124E+000                  5.1897952035026756E+004                  9.4682100747965947E-001                  4.3224049303737759E+000                  1.6368109798180958E+019                  6.1456562069056285E-005                  1.2699572316020639E-004                  4.8392623420497566E-001                  3.8451362732725897E+002                  7.9457074270619387E+002                  4.8392623420497560E-001                  5.0373041258763918E-001                  5.0704957934531913E-001                 -2.9494957324387872E-001                  0.0000000000000000E+000                  3.3892649858553332E-007                  7.6682495446255530E+000                  5.1677773343705069E-001                  1.6517162768806976E+001                  6.1456578273922673E-005                  5.2712767888531097E-002                  8.6137641633478579E-001                  2.7842104831213600E+001                  7.5542491375357435E-001                  2.4355576932378400E-001                  1.4983459673103194E-004                  1.2313690347753788E-004                  4.1604512276417782E-004                  7.2275282968597609E-001                  2.7627640196784248E-001                  1.1151296895399003E-005                  6.3131807274898659E-004                  2.0177713094995738E-005                  1.0425122119374027E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.7248536819041878E+000                  0.0000000000000000E+000                  6.3386396857899492E-004                  4.5584993996323098E+000                  5.9958534411139695E+001                  1.7128780091016146E-005                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119376190E-004                  5.9958534411139695E+001                  7.0049888012922967E-001                  0.0000000000000000E+000                 -7.0939285072317748E+000                  2.9853075900959397E-001                                      786                 -6.6011298377899594E+000                  1.1255800057324085E-005                                       35                  5.6409292385969975E+005                  5.9958534411139695E+001                 -7.0939285072317748E+000                  1.2686906065578366E-001                  4.6380275619183999E+000                  5.3419308080584152E+001                  5.9958534411139695E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7775496816237217E+004                  5.7248536819041878E+000                 -2.2000761158492121E+001                  5.7246073586895934E+000                  5.3040469380028290E+005                  4.7158515105965932E+000                  5.1981823536007592E+004                  9.5325381901610695E-001                  4.3094109979546031E+000                  1.6782329312359936E+019                  6.1049273713723295E-005                  1.2274510159953120E-004                  4.9736627301758213E-001                  3.8790442821366054E+002                  7.7991703349766124E+002                  4.9736627301758213E-001                  5.1428848001832961E-001                  5.1761423877376045E-001                 -2.8599378539998438E-001                  0.0000000000000000E+000                  4.0930765625219254E-007                  7.6702296334826041E+000                  5.1759326597954614E-001                  1.6517196536750284E+001                  6.1050905034086336E-005                  5.2461490037603094E-002                  8.5024944124057666E-001                  2.7506604957885379E+001                  7.5016931527598019E-001                  2.4882211571937998E-001                  1.1721191913831373E-004                  2.3829307828418666E-004                  3.2793496925460664E-004                  7.0049888012922967E-001                  2.9853075195444539E-001                  1.1255800057324085E-005                  6.3386396857899492E-004                  1.7128780091016150E-005                  1.0425122119376190E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.7419792674877721E+000                  0.0000000000000000E+000                  6.3446437263273646E-004                  4.5755343025330379E+000                  5.9938643397042853E+001                  1.6337863566823674E-005                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119378437E-004                  5.9938643397042853E+001                  6.7729663347978730E-001                  0.0000000000000000E+000                 -7.0565768668788937E+000                  3.2173311761646312E-001                                      775                 -6.6137751993936194E+000                  1.1334355316173890E-005                                       40                  7.9911870650322107E+005                  5.9938643397042853E+001                 -7.0565768668788937E+000                  1.3175491983453264E-001                  4.6265549426146748E+000                  5.3418199433295293E+001                  5.9938643397042853E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6856994938714313E+004                  5.7419792674877721E+000                 -2.1803913966153988E+001                  5.7417485522817255E+000                  5.5175789012834732E+005                  4.7173307094916579E+000                  5.2159174511834950E+004                  9.5886601802204419E-001                  4.2980425005085481E+000                  1.7146325403127511E+019                  6.0697599127351394E-005                  1.1888480228391475E-004                  5.1055810298103887E-001                  3.9085218030796761E+002                  7.6553907973620596E+002                  5.1055810298103887E-001                  5.2558630858678201E-001                  5.2912490647235022E-001                 -2.7644179528343443E-001                  0.0000000000000000E+000                  4.3749536836326308E-007                  7.6724535845243471E+000                  5.1884097792539741E-001                  1.6517820683513552E+001                  6.0700873142003433E-005                  5.2241814153530998E-002                  8.3864831771155401E-001                  2.7155645277295697E+001                  7.4094547900527996E-001                  2.5805564348230609E-001                  8.9490774126731697E-005                  3.4004210740513441E-004                  2.4861189181987916E-004                  6.7729663347978741E-001                  3.2173311178776953E-001                  1.1334355316173890E-005                  6.3446437263273646E-004                  1.6337863566823671E-005                  1.0425122119378436E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
