                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20220523"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79 
                                 lg_Lnuc                                   H_rich                                   N_cntr                                  lg_Lneu                                  He_core                                   O_cntr                                lg_Lphoto                                   C_core                                   O_core                                  Si_core                                  Fe_core                                  Ne_cntr                                     Mass                                   H_cntr                                  Si_cntr                                  lg_Mdot                                  He_cntr                                    zones                                 lg_Dsurf                                   C_cntr                             model_number                                 star_age                                star_mass                             log_abs_mdot                log_rotational_mdot_boost                                   log_dt               log_total_angular_momentum                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                             kh_timescale                                   log_LH                                  log_LHe                                    log_L                               luminosity                                 log_Teff                              effective_T                                    log_R                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                             lum_div_Ledd                           log_L_div_Ledd                                 v_div_cs                              v_surf_km_s                               log_cntr_T                             log_cntr_Rho                               log_cntr_P                             center_omega              center_omega_div_omega_crit                                center_ye                           center_entropy                               surface_h1                              surface_he4                              surface_c12                              surface_n14                              surface_o16                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                              center_si28                               center_s32                              center_ar36                              center_ca40                              center_fe54                              center_fe56                              center_ni56                              center_cr56 
                 5.6892346754875609E+000                  0.0000000000000000E+000                  6.3545048952284392E-006                  4.5277741097870479E+000                  5.9999999845945865E+001                  9.9401806223317381E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119327757E-006                  5.9999999845945865E+001                  7.5840613209451047E-001                  0.0000000000000000E+000                 -9.3778127697797924E+000                  2.4158418000154491E-001                                      878                 -6.0516618330784029E+000                  1.5287411667245638E-007                                        1                  3.6769366990102304E+002                  5.9999999845945865E+001                 -9.3778127697797924E+000                  1.0822008447751771E-001                  2.5654861532555375E+000                  5.3402337654115989E+001                  5.9999999845945865E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7173914517433102E+004                  5.6892346754875609E+000                 -1.6766590449665962E+001                  5.6888361445284117E+000                  4.8846802989939158E+005                  4.7808880878900748E+000                  6.0379301962186088E+004                  8.0529505734855311E-001                  4.6056287618745886E+000                  1.4927201683552125E+019                  1.0565850924549921E-004                  2.4022830736306902E-004                  4.3982539112600183E-001                  4.7981800066760303E+002                  1.0909283782803345E+003                  4.3982539112600183E-001                  3.2126279924456463E-001                  3.2022499467982646E-001                 -4.9454477289180587E-001                  0.0000000000000000E+000                  1.2747058277895761E-007                  7.7891109171620059E+000                  8.9073474571440092E-001                  1.7015815180853334E+001                  1.0566139114537973E-004                  5.8622366404624683E-002                  8.7920306622023570E-001                  2.7635815767597258E+001                  7.5996999998509984E-001                  2.3999445704141445E-001                  1.7234416801939463E-006                  5.0517137068767604E-007                  4.6902638225534184E-006                  7.5840613209451047E-001                  2.4158417896366188E-001                  1.5287411667245638E-007                  6.3545048952284401E-006                  9.9401806223317381E-008                  1.0425122119327757E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6893373597130976E+000                  0.0000000000000000E+000                  6.3545337784187682E-006                  4.5278730126887732E+000                  5.9999998853648293E+001                  9.9357698755998159E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119327759E-006                  5.9999998853648293E+001                  7.5815096162716467E-001                  0.0000000000000000E+000                 -9.3777632881757143E+000                  2.4183935047580965E-001                                      874                 -6.0518391521023167E+000                  1.5288242190182314E-007                                        5                  2.7362292139354531E+003                  5.9999998853648293E+001                 -9.3777632881757143E+000                  1.0801644423033373E-001                  2.8822111374460366E+000                  5.3402337603461277E+001                  5.9999998853648293E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7160458726234534E+004                  5.6893373597130976E+000                 -1.6764439517337831E+001                  5.6889658600737789E+000                  4.8861394784902193E+005                  4.7808778296308141E+000                  6.0377875788830846E+004                  8.0538043163975681E-001                  4.6054580061096919E+000                  1.4931881845101206E+019                  1.0564979465827316E-004                  2.4052035541636207E-004                  4.3925510784891364E-001                  4.7987316241557164E+002                  1.0924703067553830E+003                  4.3925510784891370E-001                  3.1920836302664723E-001                  3.2029843906059396E-001                 -4.9444517781767205E-001                  0.0000000000000000E+000                  1.2508259291005015E-007                  7.7891318470937705E+000                  8.9074483549984629E-001                  1.7015811425508613E+001                  1.0565071573996569E-004                  5.8617471739220772E-002                  8.7907548098621269E-001                  2.7632029846217826E+001                  7.5996999997676928E-001                  2.3999445704146963E-001                  1.7234416798210896E-006                  5.0517137112268961E-007                  4.6902638225534014E-006                  7.5815096162716478E-001                  2.4183934944002852E-001                  1.5288242190182314E-007                  6.3545337784187691E-006                  9.9357698755998159E-008                  1.0425122119327757E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6897313739234869E+000                  0.0000000000000000E+000                  6.3547591846230358E-006                  4.5281917510644876E+000                  5.9999995997279633E+001                  9.9061087199499527E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119327757E-006                  5.9999995997279633E+001                  7.5742228330000727E-001                  0.0000000000000000E+000                 -9.3768950356493193E+000                  2.4256802884495907E-001                                      866                 -6.0523654478816713E+000                  1.5291163535889825E-007                                       10                  9.5448430915553181E+003                  5.9999995997279633E+001                 -9.3768950356493193E+000                  1.0809333733297381E-001                  3.2781173676841608E+000                  5.3402337457566496E+001                  5.9999995997279633E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7119639478917910E+004                  5.6897313739234869E+000                 -1.6758054477737726E+001                  5.6893671376606205E+000                  4.8906562394405622E+005                  4.7808522140757388E+000                  6.0374314686268364E+004                  8.0563230154333032E-001                  4.6049542456274590E+000                  1.4945831951602479E+019                  1.0562333686833461E-004                  2.4029913721198526E-004                  4.3954938038398622E-001                  4.8003488399338858E+002                  1.0921068380850286E+003                  4.3954938038398622E-001                  3.1926150171322210E-001                  3.2052374751158369E-001                 -4.9413978820079124E-001                  0.0000000000000000E+000                  1.1729753210760572E-007                  7.7891974701352771E+000                  8.9079213635833387E-001                  1.7015824719190537E+001                  1.0562430554521870E-004                  5.8604497599672144E-002                  8.7871114181985244E-001                  2.7621172761509445E+001                  7.5996999993552472E-001                  2.3999445704234476E-001                  1.7234416726016116E-006                  5.0517137954609441E-007                  4.6902638225526281E-006                  7.5742228330000727E-001                  2.4256802782586573E-001                  1.5291163535889827E-007                  6.3547591846230358E-006                  9.9061087199499540E-008                  1.0425122119327757E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6907585891232069E+000                  0.0000000000000000E+000                  6.3549515719122552E-006                  4.5291224194596413E+000                  5.9999988861571580E+001                  9.8755146398391557E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119327757E-006                  5.9999988861571580E+001                  7.5563923473839167E-001                  0.0000000000000000E+000                 -9.3746351818706746E+000                  2.4435107745565071E-001                                      867                 -6.0536826470805174E+000                  1.5297611277563923E-007                                       15                  2.6486853175514378E+004                  5.9999988861571580E+001                 -9.3746351818706746E+000                  1.0832799810997755E-001                  3.6740235979222846E+000                  5.3402337092545174E+001                  5.9999988861571580E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7016000914964774E+004                  5.6907585891232069E+000                 -1.6742321229806723E+001                  5.6904027259144119E+000                  4.9023320714871772E+005                  4.7807975321634082E+000                  6.0366713449571209E+004                  8.0625945949488587E-001                  4.6036998780743641E+000                  1.4981605839401908E+019                  1.0556213335197695E-004                  2.3968468665115986E-004                  4.4042084968746220E-001                  4.8046212201515550E+002                  1.0909159326950758E+003                  4.4042084968746215E-001                  3.1974653590903346E-001                  3.2110220525656985E-001                 -4.9335671178799539E-001                  0.0000000000000000E+000                  1.0278589475526653E-007                  7.7893618921353509E+000                  8.9091416920448230E-001                  1.7015869194921013E+001                  1.0556261841751289E-004                  5.8574034344713276E-002                  8.7781961753505311E-001                  2.7594644521163247E+001                  7.5996999964325096E-001                  2.3999445713136680E-001                  1.7234408698859882E-006                  5.0517246425528579E-007                  4.6902636531714420E-006                  7.5563923473839167E-001                  2.4435107646050674E-001                  1.5297611277563926E-007                  6.3549515719122552E-006                  9.8755146398391544E-008                  1.0425122119327757E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.6934129940783977E+000                  0.0000000000000000E+000                  6.3551234798874047E-006                  4.5316682453124084E+000                  5.9999970927267704E+001                  9.8354930644003630E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119327583E-006                  5.9999970927267704E+001                  7.5131816088860282E-001                  0.0000000000000000E+000                 -9.3689766049002010E+000                  2.4867215138102253E-001                                      863                 -6.0569274202612009E+000                  1.5312882075365866E-007                                       20                  6.8643995707631373E+004                  5.9999970927267704E+001                 -9.3689766049002010E+000                  1.0892984926526392E-001                  4.0699298281604088E+000                  5.3402336171615651E+001                  5.9999970927267704E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6755636639843229E+004                  5.6934129940783968E+000                 -1.6704131159176715E+001                  5.6930770572303189E+000                  4.9326131595566153E+005                  4.7807005239450309E+000                  6.0353230862110802E+004                  8.0779064158959524E-001                  4.6006373840720816E+000                  1.5071965344403515E+019                  1.0542426861523386E-004                  2.3817163910191665E-004                  4.4263989202392595E-001                  4.8156898528794574E+002                  1.0879475482564856E+003                  4.4263989202392595E-001                  3.2099784289882438E-001                  3.2258646080400988E-001                 -4.9135386423007077E-001                  0.0000000000000000E+000                  8.2227667793350868E-008                  7.7897690681106875E+000                  8.9121464002940898E-001                  1.7015997829878373E+001                  1.0542430263776668E-004                  5.8506446988419142E-002                  8.7565908060346787E-001                  2.7530547512675220E+001                  7.5996963857844380E-001                  2.3999483676251468E-001                  1.7226377933028670E-006                  5.0687843212125422E-007                  4.6893847428551487E-006                  7.5131816088860282E-001                  2.4867215042597182E-001                  1.5312882075365866E-007                  6.3551234798874056E-006                  9.8354930644003630E-008                  1.0425122119327583E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.7003393497132961E+000                  0.0000000000000000E+000                  6.3555751421667363E-006                  4.5382996575390049E+000                  5.9999925413544581E+001                  9.7329688417687595E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119329264E-006                  5.9999925413544581E+001                  7.4095290774506750E-001                  0.0000000000000000E+000                 -9.3599062900754380E+000                  2.5903740471657455E-001                                      849                 -6.0646680670610396E+000                  1.5351054495514094E-007                                       25                  1.7354445661314874E+005                  5.9999925413544581E+001                 -9.3599062900754380E+000                  1.1048290866039592E-001                  4.4658360583985326E+000                  5.3402333812101503E+001                  5.9999925413544581E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6114699244492131E+004                  5.7003393497132961E+000                 -1.6612594592936833E+001                  5.7000108146013915E+000                  5.0119971411658463E+005                  4.7806360410415474E+000                  6.0344270438208325E+004                  8.1138648608209774E-001                  4.5934453656474785E+000                  1.5294786205228012E+019                  1.0514567983485132E-004                  2.3458985190478055E-004                  4.4821069189953583E-001                  4.8440267617434461E+002                  1.0807477039903390E+003                  4.4821069189953577E-001                  3.2422612365305697E-001                  3.2641150493271703E-001                 -4.8623454219533013E-001                  0.0000000000000000E+000                  6.0445225226543586E-008                  7.7907838025194911E+000                  8.9195504470766562E-001                  1.7016397076782681E+001                  1.0514580552673442E-004                  5.8374272084575289E-002                  8.7047645401641505E-001                  2.7377619289249203E+001                  7.5986704536088789E-001                  2.4009858473917725E-001                  1.6606698513187883E-006                  6.6427157581014292E-007                  4.5921307343346089E-006                  7.4095290774506750E-001                  2.5903740385371871E-001                  1.5351054495514094E-007                  6.3555751421667355E-006                  9.7329688417687582E-008                  1.0425122119329264E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.7172886702982160E+000                  0.0000000000000000E+000                  6.3553158184540642E-006                  4.5548501916645190E+000                  5.9999822704056029E+001                  9.6489221019711323E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119327769E-006                  5.9999822704056029E+001                  7.1853446274927146E-001                  0.0000000000000000E+000                 -9.3783733492186219E+000                  2.8145584995943745E-001                                      821                 -6.0796432010053767E+000                  1.5436312498614169E-007                                       30                  4.1306467804811767E+005                  5.9999822704056029E+001                 -9.3783733492186219E+000                  1.1420685835732734E-001                  4.7095168380581915E+000                  5.3402328375032674E+001                  5.9999822704056029E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4718002563848571E+004                  5.7172886702982160E+000                 -1.6415755303110807E+001                  5.7170381703521702E+000                  5.2124052117355244E+005                  4.7814714734879180E+000                  6.0460463675328589E+004                  8.1822929906474617E-001                  4.5797589962445526E+000                  1.5766740278331611E+019                  1.0477101579367604E-004                  2.2747346553380466E-004                  4.6058565797031870E-001                  4.9070971605318761E+002                  1.0654038126493510E+003                  4.6058565797031881E-001                  3.3234763048396204E-001                  3.3582409612449726E-001                 -4.7388814548665786E-001                  0.0000000000000000E+000                  4.5715720946237010E-008                  7.7931265063596049E+000                  8.9362276344786196E-001                  1.7017611282054165E+001                  1.0477101641196549E-004                  5.8217563856798334E-002                  8.5926723149437501E-001                  2.7050130217734917E+001                  7.5678617009461024E-001                  2.4318606925965305E-001                  1.2453251593469363E-006                  1.9329066415328816E-006                  3.6960548932712011E-006                  7.1853446274927146E-001                  2.8145584924100159E-001                  1.5436312498614169E-007                  6.3553158184540642E-006                  9.6489221019711336E-008                  1.0425122119327769E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.7329251961018368E+000                  0.0000000000000000E+000                  6.3553248422254320E-006                  4.5700559104233918E+000                  5.9999735950243796E+001                  9.5405640055162721E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119327837E-006                  5.9999735950243796E+001                  6.9767783132301098E-001                  0.0000000000000000E+000                 -9.4059314783352264E+000                  3.0231248165532049E-001                                      806                 -6.0909386387437863E+000                  1.5516806517378125E-007                                       35                  6.2874328398352163E+005                  5.9999735950243796E+001                 -9.4059314783352264E+000                  1.1842402907724953E-001                  4.6100988885481771E+000                  5.3402323650285233E+001                  5.9999735950243796E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3558905986385580E+004                  5.7329251961018368E+000                 -1.6239576499126091E+001                  5.7326120257844595E+000                  5.4027145922131278E+005                  4.7827233660805266E+000                  6.0634997790486901E+004                  8.2351244159567338E-001                  4.5691920832353565E+000                  1.6159388409391811E+019                  1.0447566874200202E-004                  2.2152210702250079E-004                  4.7162637691681963E-001                  4.9578478998456637E+002                  1.0512236258406037E+003                  4.7162637691681963E-001                  3.4142188903537196E-001                  3.4471255336898299E-001                 -4.6254290063728748E-001                  0.0000000000000000E+000                  5.0012540880478941E-008                  7.7953240423349968E+000                  8.9521704375300148E-001                  1.7018811129962696E+001                  1.0447575574347480E-004                  5.8102012614896233E-002                  8.4883891576110959E-001                  2.6744852433687122E+001                  7.5005347281339785E-001                  2.4992380795558380E-001                  9.0881016915291520E-007                  3.1006840943720371E-006                  2.8101387665051855E-006                  6.9767783132301098E-001                  3.0231248105771169E-001                  1.5516806517378125E-007                  6.3553248422254320E-006                  9.5405640055162708E-008                  1.0425122119327837E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                 5.7511080765788627E+000                  0.0000000000000000E+000                  6.3550089386723580E-006                  4.5878438726844628E+000                  5.9999644300985302E+001                  9.4516095093403803E-008                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0425122119336189E-006                  5.9999644300985302E+001                  6.7376606322252319E-001                  0.0000000000000000E+000                 -9.4272297303527015E+000                  3.2622425002412636E-001                                      810                 -6.1015709305841561E+000                  1.5610599552387931E-007                                       40                  8.6917501352498413E+005                  5.9999644300985302E+001                 -9.4272297303527015E+000                  1.2249541505730205E-001                  4.6128673764493797E+000                  5.3402318539041204E+001                  5.9999644300985302E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2327633555958095E+004                  5.7511080765788627E+000                 -1.6043254244337636E+001                  5.7508113194496042E+000                  5.6339283492812607E+005                  4.7847172880878155E+000                  6.0914023720279438E+004                  8.2862424441366744E-001                  4.5589678142164880E+000                  1.6541270502161750E+019                  1.0418468135113489E-004                  2.1567577501985938E-004                  4.8306158325635584E-001                  5.0065737868718037E+002                  1.0364255739655591E+003                  4.8306158325635584E-001                  3.5173483498941571E-001                  3.5538199398186171E-001                 -4.4930458022351305E-001                  0.0000000000000000E+000                  4.8877509126970333E-008                  7.7978960400865907E+000                  8.9719764834573223E-001                  1.7020400922958896E+001                  1.0418643358876543E-004                  5.7990588450894824E-002                  8.3688303169357348E-001                  2.6393857343355769E+001                  7.3835940881843509E-001                  2.6162181274069890E-001                  6.4337770585778833E-007                  4.1017526207045518E-006                  2.0199704489599277E-006                  6.7376606322252319E-001                  3.2622424953267043E-001                  1.5610599552387931E-007                  6.3550089386723571E-006                  9.4516095093403817E-008                  1.0425122119336189E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
