Period_NS		 Z		 Mexp		 M_ZAMS		 E_rot
1.921e-02		zem5		1.458e+01		15.0		8.021e+49
7.216e-04		zem5		1.767e+01		20.0		5.686e+52
5.127e-04		zem5		2.178e+01		25.0		1.127e+53
5.189e-04		zem5		2.615e+01		30.0		1.100e+53
5.247e-04		zem5		3.031e+01		35.0		1.076e+53
5.464e-04		zem5		3.454e+01		40.0		9.917e+52
5.474e-04		zem5		3.871e+01		45.0		9.883e+52
5.384e-04		zem5		4.294e+01		50.0		1.022e+53
5.200e-04		zem5		4.736e+01		55.0		1.095e+53
5.371e-04		zem5		5.177e+01		60.0		1.026e+53
5.244e-04		zem5		5.589e+01		65.0		1.077e+53
5.231e-04		zem5		6.015e+01		70.0		1.082e+53
5.642e-04		zem5		6.461e+01		75.0		9.302e+52
2.437e-03		zem5		1.396e+02		155.0		4.985e+51
3.722e-03		zem5		1.421e+02		160.0		2.137e+51
3.553e-03		zem5		1.503e+02		170.0		2.346e+51
4.225e-03		zem5		1.546e+02		175.0		1.659e+51
3.813e-03		zem5		1.589e+02		180.0		2.036e+51
3.715e-03		zem5		1.626e+02		185.0		2.146e+51
3.501e-03		zem5		1.688e+02		190.0		2.416e+51
3.375e-03		zem5		1.719e+02		195.0		2.600e+51
3.959e-03		zem5		1.750e+02		200.0		1.889e+51
4.485e-03		zem5		1.777e+02		205.0		1.472e+51
3.995e-03		zem5		1.839e+02		210.0		1.855e+51
4.613e-03		zem5		1.906e+02		215.0		1.392e+51
3.699e-03		zem5		1.942e+02		220.0		2.164e+51
3.725e-03		zem5		2.008e+02		225.0		2.134e+51
3.792e-03		zem5		2.029e+02		230.0		2.059e+51
3.440e-03		zem5		2.070e+02		235.0		2.502e+51
3.307e-03		zem5		2.121e+02		240.0		2.707e+51
3.222e-03		zem5		2.173e+02		245.0		2.853e+51
4.665e-03		zem5		2.222e+02		250.0		1.360e+51
4.074e-03		zem5		2.272e+02		255.0		1.784e+51
3.787e-03		zem5		2.328e+02		260.0		2.064e+51
4.569e-03		zem5		2.388e+02		265.0		1.418e+51
4.157e-03		zem5		2.417e+02		270.0		1.714e+51
3.477e-03		zem5		2.465e+02		275.0		2.450e+51
3.497e-03		zem5		2.491e+02		280.0		2.422e+51
3.495e-03		zem5		2.555e+02		285.0		2.424e+51
4.077e-03		zem5		2.599e+02		290.0		1.781e+51
3.418e-03		zem5		2.613e+02		295.0		2.535e+51
1.704e-02		zem4		1.452e+01		15.0		1.019e+50
5.652e-04		zem4		1.720e+01		20.0		9.267e+52
4.998e-04		zem4		2.102e+01		25.0		1.185e+53
5.286e-04		zem4		2.483e+01		30.0		1.060e+53
5.959e-04		zem4		2.856e+01		35.0		8.338e+52
6.216e-04		zem4		3.249e+01		40.0		7.663e+52
7.094e-04		zem4		3.592e+01		45.0		5.884e+52
7.812e-04		zem4		3.969e+01		50.0		4.852e+52
8.014e-04		zem4		4.368e+01		55.0		4.610e+52
8.371e-04		zem4		4.785e+01		60.0		4.226e+52
7.677e-04		zem4		5.201e+01		65.0		5.024e+52
8.462e-04		zem4		5.989e+01		75.0		4.135e+52
8.947e-04		zem4		6.379e+01		80.0		3.698e+52
1.111e-03		zem4		1.111e+02		135.0		2.401e+52
8.154e-05		zem4		1.364e+02		140.0		4.454e+54
9.581e-05		zem4		1.412e+02		145.0		3.225e+54
8.770e-05		zem4		1.556e+02		160.0		3.849e+54
1.258e-03		zem4		1.361e+02		165.0		1.872e+52
1.061e-04		zem4		1.653e+02		170.0		2.628e+54
1.687e-03		zem4		1.566e+02		175.0		1.041e+52
9.990e-04		zem4		1.600e+02		180.0		2.967e+52
1.382e-03		zem4		1.654e+02		185.0		1.550e+52
1.253e-03		zem4		1.565e+02		190.0		1.887e+52
1.311e-03		zem4		1.743e+02		195.0		1.723e+52
1.114e-03		zem4		1.780e+02		200.0		2.385e+52
1.189e-04		zem4		1.980e+02		205.0		2.094e+54
9.458e-04		zem4		1.869e+02		210.0		3.310e+52
1.112e-03		zem4		1.920e+02		215.0		2.394e+52
8.009e-04		zem4		1.953e+02		220.0		4.616e+52
1.527e-03		zem4		1.886e+02		225.0		1.271e+52
1.206e-03		zem4		2.053e+02		230.0		2.035e+52
8.304e-04		zem4		2.088e+02		235.0		4.294e+52
7.393e-04		zem4		2.133e+02		240.0		5.417e+52
8.633e-05		zem4		2.354e+02		245.0		3.973e+54
8.919e-04		zem4		2.185e+02		250.0		3.722e+52
8.741e-04		zem4		2.262e+02		255.0		3.875e+52
1.251e-03		zem4		2.204e+02		260.0		1.892e+52
9.604e-04		zem4		2.337e+02		265.0		3.210e+52
9.402e-04		zem4		2.394e+02		270.0		3.349e+52
9.356e-04		zem4		2.436e+02		275.0		3.382e+52
9.079e-04		zem4		2.513e+02		280.0		3.592e+52
3.198e-03		zem4		2.550e+02		285.0		2.895e+51
3.011e-03		zem4		2.591e+02		290.0		3.265e+51
3.460e-03		zem4		2.657e+02		295.0		2.473e+51
2.142e-02		3zem4		1.445e+01		15.0		6.453e+49
5.545e-04		3zem4		1.674e+01		20.0		9.629e+52
6.666e-04		3zem4		2.003e+01		25.0		6.662e+52
8.948e-04		3zem4		2.308e+01		30.0		3.698e+52
8.871e-04		3zem4		2.661e+01		35.0		3.763e+52
8.220e-04		3zem4		3.088e+01		40.0		4.382e+52
8.338e-04		3zem4		3.464e+01		45.0		4.259e+52
8.338e-04		3zem4		3.860e+01		50.0		4.259e+52
1.006e-03		3zem4		4.146e+01		55.0		2.927e+52
1.142e-03		3zem4		4.496e+01		60.0		2.272e+52
1.011e-03		3zem4		4.946e+01		65.0		2.896e+52
1.248e-03		3zem4		5.231e+01		70.0		1.903e+52
8.662e-04		3zem4		6.488e+01		85.0		3.946e+52
9.518e-05		3zem4		1.405e+02		145.0		3.268e+54
8.836e-05		3zem4		1.455e+02		150.0		3.793e+54
7.911e-05		3zem4		1.594e+02		165.0		4.731e+54
1.702e-03		3zem4		1.378e+02		185.0		1.022e+52
8.055e-05		3zem4		1.834e+02		190.0		4.563e+54
7.716e-05		3zem4		1.881e+02		195.0		4.973e+54
3.622e-03		3zem4		1.454e+02		200.0		2.257e+51
9.469e-05		3zem4		1.977e+02		205.0		3.302e+54
5.152e-03		3zem4		1.466e+02		210.0		1.116e+51
4.627e-03		3zem4		1.525e+02		215.0		1.383e+51
8.475e-05		3zem4		2.110e+02		220.0		4.122e+54
8.466e-05		3zem4		2.152e+02		225.0		4.131e+54
5.263e-03		3zem4		1.629e+02		230.0		1.069e+51
4.800e-03		3zem4		1.664e+02		235.0		1.285e+51
5.728e-03		3zem4		1.678e+02		240.0		9.023e+50
5.796e-03		3zem4		1.680e+02		245.0		8.814e+50
6.998e-03		3zem4		1.684e+02		250.0		6.046e+50
9.620e-05		3zem4		2.428e+02		255.0		3.200e+54
9.327e-05		3zem4		2.472e+02		260.0		3.403e+54
6.345e-03		3zem4		1.814e+02		265.0		7.355e+50
6.965e-03		3zem4		1.816e+02		270.0		6.103e+50
8.600e-05		3zem4		2.611e+02		275.0		4.004e+54
9.384e-05		3zem4		2.660e+02		280.0		3.363e+54
6.809e-03		3zem4		1.978e+02		285.0		6.387e+50
6.387e-03		3zem4		2.038e+02		290.0		7.259e+50
5.730e-03		3zem4		2.169e+02		295.0		9.017e+50
1.688e-02		6zem4		6.613e+00		15.0		1.039e+50
1.354e-02		6zem4		1.847e+01		20.0		1.615e+50
8.623e-04		6zem4		1.943e+01		25.0		3.982e+52
1.040e-03		6zem4		2.229e+01		30.0		2.739e+52
9.843e-04		6zem4		2.602e+01		35.0		3.056e+52
9.920e-04		6zem4		2.980e+01		40.0		3.009e+52
1.027e-03		6zem4		3.346e+01		45.0		2.808e+52
1.317e-03		6zem4		3.641e+01		50.0		1.706e+52
1.407e-03		6zem4		3.932e+01		55.0		1.496e+52
1.196e-03		6zem4		4.454e+01		60.0		2.069e+52
1.318e-03		6zem4		4.735e+01		65.0		1.704e+52
1.331e-03		6zem4		5.093e+01		70.0		1.672e+52
1.351e-03		6zem4		5.492e+01		75.0		1.622e+52
1.761e-03		6zem4		5.768e+01		80.0		9.552e+51
1.409e-03		6zem4		6.350e+01		85.0		1.492e+52
3.560e-03		6zem4		1.385e+02		160.0		2.337e+51
1.706e-03		6zem4		1.529e+02		165.0		1.017e+52
4.541e-03		6zem4		1.492e+02		170.0		1.436e+51
7.096e-03		6zem4		1.574e+02		175.0		5.880e+50
1.011e-03		6zem4		1.679e+02		180.0		2.897e+52
4.145e-03		6zem4		1.650e+02		185.0		1.723e+51
1.960e-03		6zem4		1.748e+02		190.0		7.705e+51
1.606e-03		6zem4		1.798e+02		195.0		1.148e+52
1.863e-03		6zem4		1.732e+02		200.0		8.527e+51
2.510e-03		6zem4		1.845e+02		205.0		4.701e+51
4.556e-03		6zem4		1.880e+02		210.0		1.426e+51
2.044e-03		6zem4		1.917e+02		215.0		7.088e+51
4.147e-04		6zem4		2.035e+02		220.0		1.722e+53
2.009e-03		6zem4		1.936e+02		225.0		7.334e+51
4.498e-03		6zem4		2.095e+02		230.0		1.464e+51
1.787e-03		6zem4		2.132e+02		235.0		9.269e+51
1.720e-03		6zem4		2.133e+02		240.0		1.001e+52
6.003e-04		6zem4		2.243e+02		245.0		8.216e+52
2.164e-03		6zem4		2.220e+02		250.0		6.320e+51
2.530e-03		6zem4		2.297e+02		255.0		4.624e+51
1.762e-03		6zem4		2.343e+02		260.0		9.542e+51
3.692e-04		6zem4		2.457e+02		265.0		2.172e+53
4.378e-04		6zem4		2.496e+02		270.0		1.545e+53
4.456e-04		6zem4		2.544e+02		275.0		1.492e+53
7.978e-04		6zem4		2.569e+02		280.0		4.652e+52
4.442e-04		6zem4		2.639e+02		285.0		1.500e+53
3.339e-04		6zem4		2.742e+02		290.0		2.656e+53
8.961e-04		6zem4		2.377e+02		295.0		3.687e+52
2.065e-02		z001		1.204e+01		15.0		6.946e+49
5.452e-04		z001		1.675e+01		20.0		9.962e+52
1.105e-03		z001		1.888e+01		25.0		2.426e+52
1.251e-03		z001		2.166e+01		30.0		1.892e+52
1.187e-03		z001		2.516e+01		35.0		2.103e+52
1.228e-03		z001		2.857e+01		40.0		1.962e+52
